Athlete ID,Name,Week Number,Date Range,Distance (km),Time,Elevation (m)
4882648.0,Mike FOPPEN,45,Activities for 4 Nov 2024 - 10 Nov 2024,20.8,1h 26m,111.0
4882648.0,Mike FOPPEN,46,Activities for 11 Nov 2024 - 17 Nov 2024,30.9,1h 41m,166.0
4882648.0,Mike FOPPEN,47,Activities for 18 Nov 2024 - 24 Nov 2024,16.0,1h 0m,53.0
4882648.0,Mike FOPPEN,48,Activities for 25 Nov 2024 - 1 Dec 2024,16.1,0h 59m,20.0
4882648.0,Mike FOPPEN,49,Activities for 2 Dec 2024 - 8 Dec 2024,7.3,0h 20m,96.0
4882648.0,Mike FOPPEN,50,Activities for 9 Dec 2024 - 15 Dec 2024,66.0,4h 10m,219.0
4882648.0,Mike FOPPEN,51,Activities for 16 Dec 2024 - 22 Dec 2024,33.3,2h 4m,99.0
4882648.0,Mike FOPPEN,52,Activities for 23 Dec 2024 - 29 Dec 2024,21.4,1h 19m,16.0
7327132.0,Charles PHILIBERT-THIBOUTOT,45,Activities for 4 Nov 2024 - 10 Nov 2024,25.0,1h 32m,783.0
7327132.0,Charles PHILIBERT-THIBOUTOT,46,Activities for 11 Nov 2024 - 17 Nov 2024,26.0,1h 34m,235.0
7327132.0,Charles PHILIBERT-THIBOUTOT,47,Week 47 - No Data,0.0,0h 0m,0.0
7327132.0,Charles PHILIBERT-THIBOUTOT,48,Activities for 25 Nov 2024 - 1 Dec 2024,26.0,1h 33m,452.0
7327132.0,Charles PHILIBERT-THIBOUTOT,49,Activities for 2 Dec 2024 - 8 Dec 2024,25.0,1h 28m,348.0
7327132.0,Charles PHILIBERT-THIBOUTOT,50,Activities for 9 Dec 2024 - 15 Dec 2024,25.0,1h 44m,985.0
7327132.0,Charles PHILIBERT-THIBOUTOT,51,Activities for 16 Dec 2024 - 22 Dec 2024,25.0,1h 25m,429.0
7327132.0,Charles PHILIBERT-THIBOUTOT,52,Activities for 23 Dec 2024 - 29 Dec 2024,25.0,1h 40m,228.0
4298711.0,Ryan CLARKE,45,Activities for 4 Nov 2024 - 10 Nov 2024,43.5,4h 17m,617.0
4298711.0,Ryan CLARKE,46,Activities for 11 Nov 2024 - 17 Nov 2024,115.8,20h 21m,4492.0
4298711.0,Ryan CLARKE,47,Week 47 - No Data,0.0,0h 0m,0.0
4298711.0,Ryan CLARKE,48,Activities for 25 Nov 2024 - 1 Dec 2024,24.1,3h 46m,377.0
4298711.0,Ryan CLARKE,49,Activities for 2 Dec 2024 - 8 Dec 2024,38.4,4h 35m,627.0
4298711.0,Ryan CLARKE,50,Activities for 9 Dec 2024 - 15 Dec 2024,34.6,4h 38m,395.0
4298711.0,Ryan CLARKE,51,Activities for 16 Dec 2024 - 22 Dec 2024,65.6,5h 56m,1096.0
4298711.0,Ryan CLARKE,52,Activities for 23 Dec 2024 - 29 Dec 2024,51.9,4h 28m,767.0
5797327.0,Said MECHAAL,45,Week 45 - No Data,0.0,0h 0m,0.0
5797327.0,Said MECHAAL,46,Week 46 - No Data,0.0,0h 0m,0.0
5797327.0,Said MECHAAL,47,Week 47 - No Data,0.0,0h 0m,0.0
5797327.0,Said MECHAAL,48,Week 48 - No Data,0.0,0h 0m,0.0
5797327.0,Said MECHAAL,49,Week 49 - No Data,0.0,0h 0m,0.0
