Athlete ID,Name,Week Number,Date Range,Distance (km),Time,Elevation (m)
2827104.0,Jack ROWE,45,Activities for 4 Nov 2024 - 10 Nov 2024,177.0,11h 51m,705.0
2827104.0,Jack ROWE,46,Activities for 11 Nov 2024 - 17 Nov 2024,177.0,11h 51m,672.0
2827104.0,Jack ROWE,47,Activities for 18 Nov 2024 - 24 Nov 2024,160.9,11h 21m,1617.0
2827104.0,Jack ROWE,48,Activities for 25 Nov 2024 - 1 Dec 2024,193.1,13h 21m,1772.0
2827104.0,Jack ROWE,49,Activities for 2 Dec 2024 - 8 Dec 2024,193.3,13h 12m,1820.0
2827104.0,Jack ROWE,50,Activities for 9 Dec 2024 - 15 Dec 2024,161.0,11h 16m,1298.0
2827104.0,Jack ROWE,51,Activities for 16 Dec 2024 - 22 Dec 2024,144.8,10h 2m,679.0
2827104.0,Jack ROWE,52,Activities for 23 Dec 2024 - 29 Dec 2024,120.7,7h 54m,284.0
2988843.0,James PRESTON,45,Activities for 4 Nov 2024 - 10 Nov 2024,66.6,7h 38m,84.0
2988843.0,James PRESTON,46,Activities for 11 Nov 2024 - 17 Nov 2024,60.8,8h 19m,73.0
2988843.0,James PRESTON,47,Activities for 18 Nov 2024 - 24 Nov 2024,77.1,8h 59m,112.0
2988843.0,James PRESTON,48,Activities for 25 Nov 2024 - 1 Dec 2024,62.1,8h 3m,79.0
2988843.0,James PRESTON,49,Activities for 2 Dec 2024 - 8 Dec 2024,110.8,9h 45m,369.0
2988843.0,James PRESTON,50,Activities for 9 Dec 2024 - 15 Dec 2024,130.4,11h 40m,379.0
2988843.0,James PRESTON,51,Activities for 16 Dec 2024 - 22 Dec 2024,56.4,8h 57m,300.0
2988843.0,James PRESTON,52,Activities for 23 Dec 2024 - 29 Dec 2024,191.3,13h 50m,282.0
2688671.0,Duncan HAMILTON,45,Week 45 - No Data,0.0,0h 0m,0.0
2688671.0,Duncan HAMILTON,46,Week 46 - No Data,0.0,0h 0m,0.0
2688671.0,Duncan HAMILTON,47,Activities for 18 Nov 2024 - 24 Nov 2024,29.8,1h 46m,30.0
2688671.0,Duncan HAMILTON,48,Week 48 - No Data,0.0,0h 0m,0.0
2688671.0,Duncan HAMILTON,49,Activities for 2 Dec 2024 - 8 Dec 2024,17.0,1h 10m,106.0
2688671.0,Duncan HAMILTON,50,Activities for 9 Dec 2024 - 15 Dec 2024,66.3,4h 31m,138.0
2688671.0,Duncan HAMILTON,51,Week 51 - No Data,0.0,0h 0m,0.0
2688671.0,Duncan HAMILTON,52,Activities for 23 Dec 2024 - 29 Dec 2024,112.7,7h 34m,799.0
3315425.0,Andrew HUNTER,45,Week 45 - No Data,0.0,0h 0m,0.0
3315425.0,Andrew HUNTER,46,Activities for 11 Nov 2024 - 17 Nov 2024,56.6,3h 59m,1394.0
3315425.0,Andrew HUNTER,47,Activities for 18 Nov 2024 - 24 Nov 2024,97.7,5h 19m,1859.0
3315425.0,Andrew HUNTER,48,Activities for 25 Nov 2024 - 1 Dec 2024,93.1,7h 21m,4058.0
3315425.0,Andrew HUNTER,49,Activities for 2 Dec 2024 - 8 Dec 2024,287.3,19h 44m,10239.0
3315425.0,Andrew HUNTER,50,Activities for 9 Dec 2024 - 15 Dec 2024,83.5,4h 1m,1205.0
3315425.0,Andrew HUNTER,51,Activities for 16 Dec 2024 - 22 Dec 2024,60.1,4h 18m,1010.0
3315425.0,Andrew HUNTER,52,Activities for 23 Dec 2024 - 29 Dec 2024,47.1,3h 58m,869.0
3315425.0,Andrew HUNTER,45,Week 45 - No Data,0.0,0h 0m,0.0
3315425.0,Andrew HUNTER,46,Activities for 11 Nov 2024 - 17 Nov 2024,56.6,3h 59m,1394.0
3315425.0,Andrew HUNTER,47,Activities for 18 Nov 2024 - 24 Nov 2024,97.7,5h 19m,1859.0
3315425.0,Andrew HUNTER,48,Activities for 25 Nov 2024 - 1 Dec 2024,93.1,7h 21m,4058.0
3315425.0,Andrew HUNTER,49,Activities for 2 Dec 2024 - 8 Dec 2024,287.3,19h 44m,10239.0
3315425.0,Andrew HUNTER,50,Activities for 9 Dec 2024 - 15 Dec 2024,83.5,4h 1m,1205.0
3315425.0,Andrew HUNTER,51,Activities for 16 Dec 2024 - 22 Dec 2024,60.1,4h 18m,1010.0
3315425.0,Andrew HUNTER,52,Activities for 23 Dec 2024 - 29 Dec 2024,47.1,3h 58m,869.0
3593920.0,Samuel TANNER,45,Week 45 - No Data,0.0,0h 0m,0.0
3593920.0,Samuel TANNER,46,Week 46 - No Data,0.0,0h 0m,0.0
3593920.0,Samuel TANNER,47,Week 47 - No Data,0.0,0h 0m,0.0
3593920.0,Samuel TANNER,48,Week 48 - No Data,0.0,0h 0m,0.0
3593920.0,Samuel TANNER,49,Week 49 - No Data,0.0,0h 0m,0.0
3593920.0,Samuel TANNER,50,Week 50 - No Data,0.0,0h 0m,0.0
3593920.0,Samuel TANNER,51,Week 51 - No Data,0.0,0h 0m,0.0
3593920.0,Samuel TANNER,52,Week 52 - No Data,0.0,0h 0m,0.0
3315425.0,Andrew HUNTER,45,Week 45 - No Data,0.0,0h 0m,0.0
3315425.0,Andrew HUNTER,46,Activities for 11 Nov 2024 - 17 Nov 2024,56.6,3h 59m,1394.0
3315425.0,Andrew HUNTER,47,Activities for 18 Nov 2024 - 24 Nov 2024,97.7,5h 19m,1859.0
3315425.0,Andrew HUNTER,48,Activities for 25 Nov 2024 - 1 Dec 2024,93.1,7h 21m,4058.0
3315425.0,Andrew HUNTER,49,Activities for 2 Dec 2024 - 8 Dec 2024,287.3,19h 44m,10239.0
